Sl. No.,State,2018 - Died,2018 - Culled,2019 - Died,2019 - Culled,2020 - Died,2020 - Culled,2021 - Died,2021 - Culled,2022 - Died,2022 - Culled
1,Bihar,167,3269,7,1308,0,0,0,0,791,3330
2,Chhattisgarh,0,0,0,0,0,0,745,55876,0,0
3,Gujarat,0,0,0,0,0,0,196,34943,0,0
4,Haryana,0,0,0,0,0,0,95835,173986,0,0
5,Jammu and Kashmir,0,0,0,0,0,0,9,832,0,0
6,Jharkhand,0,0,26,4823,0,0,0,0,0,0
7,Karnataka,0,0,0,0,28,8448,0,0,0,0
8,Kerala,0,0,0,0,37108,72009,92215,246800,28076,158422
9,Madhya Pradesh,0,0,5634,15426,110,71,195,4052,0,0
10,Maharashtra,0,0,0,0,0,0,10303,145186,1376,26932
11,Odisha,12871,15005,235,689,1348,1024,0,0,0,0
12,Punjab,0,0,0,0,0,0,69156,145088,0,0
13,Uttar Pradesh,0,0,0,0,0,0,3,14628,0,0
Total,Total,13038,18274,5902,22246,38594,81552,268657,821391,30243,188684
